,conn_id,duration,proto,service,src_bytes,dst_bytes,flag,urgent,land,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,dst_host_serror_rate,dst_host_rerror_rate,contains_dnp3_pckt,tot_dnp3_payload_len,min_payload_len,disable_cold_or_warm_in_conn,func_code_not_supported_count,rttd,
11,459,50.86666203,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,10,10,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
12,515,32.82933402,tcp,20000,2009,1947,SF,0,0,0,0,0,0,0,0,0,0,0,11,11,1,0,0,0,0,0,0,0,TRUE,804,8,FALSE,0,0.000165307,normal
13,559,16.77831507,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,12,12,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
14,594,47.87778902,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,13,13,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
15,647,37.83458209,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,14,14,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
16,694,19.78747201,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,15,15,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
17,729,47.87892294,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,16,16,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
18,782,45.85511899,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,17,17,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
19,835,58.88760304,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
20,894,28.82564998,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,19,19,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
21,935,10.76595902,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,20,20,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
22,967,47.85562205,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,21,21,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
23,1020,39.84881377,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,22,22,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
